,franquicia,movie_count,ganancia_total,ganancia_promedio
0,100 Girls Collection,1,17000000.0,17000000.0
1,101 Dalmatians (Animated) Collection,1,27281507.0,27281507.0
2,101 Dalmatians (Live-Action) Collection,2,39283125.0,19641562.5
3,2 Days In... Collection,1,3106835.0,3106835.0
4,30 Days of Night Collection,1,54926886.0,54926886.0
5,48 Hrs. Collection,1,4865000.0,4865000.0
6,9½ Weeks Collection,1,36230219.0,36230219.0
7,A Better Tomorrow Collection,2,19587992.0,9793996.0
8,A Goofy Movie Collection,1,35348597.0,35348597.0
9,A Nightmare on Elm Street Collection,7,263437704.0,37633957.71428572
10,Ace Ventura Collection,2,319602929.0,159801464.5
11,Addams Family Collection,2,62919043.0,31459521.5
12,Agent Cody Banks Collection,1,37095657.0,37095657.0
13,Air Bud Collection,2,86673242.0,43336621.0
14,Airplane Collection,2,46989737.0,23494868.5
15,Airport Collection,2,121584834.0,60792417.0
16,Aladdin Collection,2,575266088.0,287633044.0
17,Alex Cross Collection,2,154225402.0,77112701.0
18,Alien Collection,3,530326668.0,176775556.0
19,Alien Nation Collection,2,38683190.0,19341595.0
20,Alienation Trilogy,2,192713791.0,96356895.5
21,All Dogs Go to Heaven Collection,2,29820678.0,14910339.0
22,Allan Quatermain Collection,1,38748395.0,38748395.0
23,Almighty Collection,1,20298207.0,20298207.0
24,Alvin and the Chipmunks Collection,3,249808922.0,83269640.66666667
25,American Graffiti Collection,2,54573862.0,27286931.0
26,American Ninja Collection,1,808114.0,808114.0
27,American Pie (Spin-off) Collection,2,76345580.0,38172790.0
28,American Pie Collection,3,373187344.0,124395781.33333333
29,Anchorman Collection,1,783766341.0,783766341.0
30,Animation Runner Kuromi (OAV collection),1,3848034.0,3848034.0
31,Appleseed Collection,1,66980456.0,66980456.0
32,Armitage III Collection,1,21000000.0,21000000.0
33,Armour of God Collection,1,34251525.0,34251525.0
34,Arthur Collection,1,8083123.0,8083123.0
35,Arthur and the Invisibles Collection,1,38085778.0,38085778.0
36,Attack on Titan Collection,1,134552.0,134552.0
37,Austin Powers Collection,1,2628241.0,2628241.0
38,Azumi Collection,1,1600000.0,1600000.0
39,Babe Collection,2,273645281.0,136822640.5
40,Babylon 5 Collection,3,81372758.0,27124252.666666668
41,Bachelor Party Collection,1,1156730962.0,1156730962.0
42,Back to the Future Collection,3,15792180.0,5264060.0
43,Bad Boys Collection,1,141407024.0,141407024.0
44,Balto Collection,1,11348324.0,11348324.0
45,Barbershop Collection,1,13885802.0,13885802.0
46,Basic Instinct Collection,1,138530565.0,138530565.0
47,Batman (DC Universe Animated) Collection,1,6908797.0,6908797.0
48,Batman Collection,3,834878068.0,278292689.3333333
49,Battle Royale Collection,1,44065653.0,44065653.0
50,Beauty and the Beast Collection,2,380550553.0,190275276.5
51,Before... Collection,2,34268695.0,17134347.5
52,Behind Enemy Lines Collection,1,63931.0,63931.0
53,Benvenuti al... Collection,1,4627375.0,4627375.0
54,Best Exotic Marigold Hotel Collection,1,192400.0,192400.0
55,Best of the Best Collection,2,75234790.0,37617395.0
56,Beverly Hills Cop Collection,1,119208989.0,119208989.0
57,Bionicle Collection,1,52597999.0,52597999.0
58,Blade Collection,2,106010749.0,53005374.5
59,Blade Runner Collection,1,33139618.0,33139618.0
60,Blair Witch Collection,1,55707411.0,55707411.0
61,Bloodsport Collection,2,5550263.0,2775131.5
62,Bridget Jones Collection,1,84552250.0,84552250.0
63,Bring It On Collection,1,11229.0,11229.0
64,Brooklyn Cigar Store Collection,2,9624430.0,4812215.0
65,Brother Bear Collection,1,1569918.0,1569918.0
66,Bummer Collection,1,4500000.0,4500000.0
67,Burnt by the Sun Trilogy,2,80093511.0,40046755.5
68,Caddyshack Collection,1,5979292.0,5979292.0
69,Candyman Collection,2,26940383.0,13470191.5
70,Caprona Collection,1,16647800.0,16647800.0
71,Captain America 1979 Classic Collection,1,14752.0,14752.0
72,Carnosaur Collection,1,1753979.0,1753979.0
73,Carrie Collection,2,210421100.0,105210550.0
74,Cars Collection,1,204999686.0,204999686.0
75,Cat People Collection,1,17768900.0,17768900.0
76,Cats & Dogs Collection,1,5471376.0,5471376.0
77,Center Stage Collection,1,64783827.0,64783827.0
78,Charlie Chan (Warner Oland) Collection,2,89648690.0,44824345.0
79,Cheech & Chong Collection,2,40901328.0,20450664.0
