,production_company,movie_count,ganancia_total
0,.406 Production,1,229074524.0
1,100% Halal,1,1702433.0
2,10th Hole Productions,1,55198285.0
3,120dB Films,1,480314.0
4,1492 Pictures,2,43850260.0
5,1818,1,7496681.0
6,185 Trax,1,3000000.0
7,2 Player Productions,1,218340595.0
8,20th Century Fox Home Entertainment,2,56246967.0
9,20th Century Fox Television,3,41289313.0
10,21st Century Film Corporation,1,16945171.0
11,26 Films,2,216257024.0
12,2929 Productions,4,216637391.0
13,2Plan2,1,385680446.0
14,3 Arts Entertainment,1,1.0
15,3311 Productions,2,11559442.0
16,3L Filmproduktion GmbH,1,3106835.0
17,3b productions,1,27388767.0
18,3rd Street Pictures,1,15608545.0
19,4 1/2,1,98441954.0
20,4 1/2 Film,1,732655.0
21,40 Acres & A Mule Filmworks,5,121750271.0
22,4th Row Films,1,1402307.0
23,5 States,1,32005248.0
24,61* Productions Inc.,1,25461.0
25,7 Network,1,16000000.0
26,7 Pictures,1,3418141.0
27,72nd Street Productions,1,226497209.0
28,852 Films,1,4453524.0
29,9.14 Pictures,1,11838218.0
30,9ers Entertainment,1,11095236.0
31,A & A Release,1,41637263.0
32,A Band Apart,2,25953422.0
33,A Loopy Production LLC,1,90426405.0
34,A&M Films,2,19325131.0
35,A-1 Kino Video,1,358375603.0
36,A-Mark Entertainment,1,41624046.0
37,A. Ninety-Three Productions,1,6333135.0
38,A.F. Cinema e Vídeo,1,230000000.0
39,A24,1,81705746.0
40,AARU Productions,1,214605.0
41,AB Svenska Ord,1,38755073.0
42,AB-PT Pictures Corp.,1,181096164.0
43,ABC Circle Films,3,1475313.0
44,ABC Film A/S,1,33821.0
45,ABC Pictures,2,58518246.0
46,ABS-CBN Film Productions,1,4300000.0
47,ACH,1,6000000.0
48,ADV Films,1,500000.0
49,AIC,1,539896.0
50,APT Films,1,85446075.0
51,ARD Degeto Film,1,11417362.0
52,ARP Sélection,3,48706668.0
53,ARTE,1,42345360.0
54,ARTE France Cinéma,5,134695817.0
55,AS Productions,1,17671101.0
56,ASA Film Produktion ApS,1,4.0
57,AT&T,1,9800000.0
58,ATO Pictures,1,48126384.0
59,AV Pictures,1,413106170.0
60,AVCO Embassy Pictures,4,201542889.0
61,AVEK,1,28.0
62,Aamir Khan Productions,1,64110728.0
63,Aardman Animations,2,61642841.0
64,Aashirvad Cinemas,1,73706.0
65,Abandon Pictures,1,163644662.0
66,Abbott Vision,1,13521829.0
67,Academy Pictures,1,2402459.0
68,Act III Communications,2,82075932.0
69,Action Images,1,52424533.0
70,Action International Pictures,1,101543.0
71,Acuarius Films,1,2000000.0
72,Adela Pictures,1,463517383.0
73,Admire Productions Ltd.,1,20217080.0
74,Affirm Films,1,33621.0
75,Afghan Luke Productions,1,432274.0
76,After Dark Films,1,4349187.0
77,Agamemnon Films,1,14000000.0
