name,director_return
Abel Ferrara,0.695
Adrian Lyne,2.353333333333333
Akira Kurosawa,0.245
Alan J. Pakula,2.0300000000000002
Alan Parker,2.205
Alan Shapiro,0.79
Albert Hughes,7.97
Alejandro Amenábar,0.13
Alek Keshishian,7.25
Alex Cox,1.12
Alex Proyas,2.763333333333333
Alexander Payne,0.05
Alexandre Rockwell,1.08
Alfonso Aráu,6.665
Alfonso Cuarón,2.22
Alfred Hitchcock,9.506785714285714
Allen Hughes,7.97
Allison Anders,1.08
Andrei Konchalovsky,0.88
Andrew Bergman,2.27
Andrew Davis,3.7157142857142857
Andrew Fleming,1.65
Andrew Morahan,1.42
Andrew Niccol,0.35
Andrew Sipes,0.23
Andrew Solt,0.42
Andy Tennant,2.53
Andy Wilson,0.33
Ang Lee,5.591666666666666
Annabel Jankel,0.44
Anthony Minghella,8.59
Anthony Waller,0.5
Antoine Fuqua,0.64
Art Stevens,30.915
Arthur Penn,20.28
Ate de Jong,2.04
Atom Egoyan,0.65
Barry Cook,3.38
Barry Levinson,5.7219999999999995
Barry Sonnenfeld,2.975
Baz Luhrmann,10.74
Ben Sharpsteen,28.031666666666666
Ben Stiller,1.97
Bernard Rose,0.876
Bernardo Bertolucci,0.71
Betty Thomas,2.81
Bill Condon,0.65
Bill Plympton,0.81
Billy Bob Thornton,24.44
Billy Wilder,6.5600000000000005
Blake Edwards,4.76
Bob Clark,3.04
Bob Spiers,4.0
Bobby Farrelly,10.819999999999999
Brad Silberling,4.685
Brenda Chapman,3.12
Brett Leonard,1.6066666666666667
Brett Ratner,7.41
Brian De Palma,10.81625
Brian Gibson,2.16
Brian Helgeland,1.8
Brian Levant,4.795
Bronwen Hughes,1.25
Bruce Beresford,19.44
Bryan Singer,3.89
Bryan Spicer,2.6500000000000004
Burny Mattinson,2.76
Byron Haskin,1.0
Cameron Crowe,5.47
Carl Franklin,0.6
Carol Reed,3.74
Cecil B. DeMille,9.0
Charles Band,8.75
Charles Crichton,8.33
Charles Martin Smith,7.71
Charles Shyer,1.38
Charlie Chaplin,5.5
Chris Columbus,22.064999999999998
Chris Noonan,8.47
Christian Duguay,0.29
Christopher Cain,2.38
Christopher Nolan,8.08
Chuck Russell,11.45
Clint Eastwood,5.627142857142857
Clyde Geronimi,97.10133333333333
Costa-Gavras,0.21
Curtis Hanson,3.61
Daisy von Scherler Mayer,2.5175
Dan Aykroyd,0.21
Dan Kuenster,1.96
Daniel Petrie,1.43
Danny Boyle,4.12
Danny Cannon,0.94
Danny DeVito,0.93
Danny Steinmann,9.97
Darren Aronofsky,53.69
Darren Stein,1.03
David Anspaugh,1.9
David Carson,3.16
David Cronenberg,2.4414285714285713
David Fincher,5.1033333333333335
David Frankel,0.83
David Hand,157.49666666666667
David Lean,7.97
David Lowell Rich,0.93
David Lynch,2.5700000000000003
David Mamet,1.38
David Michener,2.76
David Moreton,0.58
David Nutter,1.17
David O. Russell,2.1
David Price,7.76
David Twohy,0.56
David Winning,1.8
Dean Parisot,0.7
Deborah Kaplan,2.56
Delbert Mann,8.75
Dennis Dugan,3.43
Deran Sarafian,0.33
Dominic Sena,0.27
Dominique Othenin-Girard,2.33
Don Bluth,3.746
Don Roos,1.18
Don Taylor,4.94
Donald Petrie,0.57
Doug Liman,16.48
Doug McHenry,2.98
Douglas McGrath,3.71
Dwight H. Little,3.695
Edmund Goulding,3.71
Edward Burns,2.71
Edward Zwick,2.675
Elia Kazan,5.461666666666667
Emile Ardolino,35.66
Eric Darnell,2.86
Eric Goldberg,6.29
Eric Larson,8.5
Eric Red,0.16
Ernest B. Schoedsack,14.88
Ernest R. Dickerson,0.9466666666666667
Ernst Lubitsch,1.67
Ethan Coen,4.86
F. Gary Gray,5.407500000000001
Ford Beebe,36.54
Forest Whitaker,5.09
Francis Ford Coppola,5.567142857142857
Franco Zeffirelli,1.75
Frank Borzage,6.25
Frank Capra,6.949999999999999
Frank Coraci,7.47
Frank Darabont,1.13
Frank Lloyd,3.6799999999999997
Frank Marshall,3.04
Frank Oz,2.71
Franklin J. Schaffner,6.333333333333333
Fred Dekker,0.49
Fred M. Wilcox,1.71
Fred Zinnemann,11.9175
Frederik Du Chau,0.95
Fritz Kiersch,17.5
Fritz Lang,0.01
Félix Enríquez Alcalá,0.27
Garry Marshall,33.07
Gary Fleder,1.155
Gary Goldman,2.4133333333333336
Gary Nelson,1.79
Gary Sherman,1.35
Gary Trousdale,10.393333333333333
Gene Kelly,2.83
Geoff Murphy,1.74
George A. Romero,263.16
George Cukor,2.3066666666666666
George Lucas,39.265
George Miller,0.77
George P. Cosmatos,3.046666666666667
George Roy Hill,23.035
George Scribner,2.39
George Seaton,10.05
George Stevens,6.48
George T. Miller,0.51
Gil Junger,3.34
Gilbert Adler,0.37
Glenn Gordon Caron,2.33
Gore Verbinski,3.22
Graham Heid,311.71
Gregory Hoblit,3.42
Gregory Nava,3.0
Gregory Widen,2.0
Griffin Dunne,0.62
