,name,movie_title,release_date,budget,revenue,return
0,John Lasseter,Toy Story,1995-10-30,30000000.0,373554033.0,12.45
1,Joe Johnston,Jumanji,1995-12-15,65000000.0,262797249.0,4.04
2,Forest Whitaker,Waiting to Exhale,1995-12-22,16000000.0,81452156.0,5.09
3,Michael Mann,Heat,1995-12-15,60000000.0,187436818.0,3.12
4,Billy Wilder,Sabrina,1954-09-28,2238813.0,10000000.0,4.47
5,Peter Hyams,Sudden Death,1995-12-22,35000000.0,64350171.0,1.84
6,Martin Campbell,GoldenEye,1995-11-16,58000000.0,352194034.0,6.07
7,Rob Reiner,The American President,1995-11-17,62000000.0,107879496.0,1.74
8,Oliver Stone,Nixon,1995-12-22,44000000.0,13681765.0,0.31
9,Renny Harlin,Cutthroat Island,1995-12-22,98000000.0,10017322.0,0.1
10,Martin Scorsese,Casino,1995-11-22,52000000.0,116112375.0,2.23
11,Ang Lee,Sense and Sensibility,1995-12-13,16500000.0,135000000.0,8.18
12,Allison Anders,Four Rooms,1995-12-09,4000000.0,4300000.0,1.08
13,Alexandre Rockwell,Four Rooms,1995-12-09,4000000.0,4300000.0,1.08
14,Robert Rodriguez,Four Rooms,1995-12-09,4000000.0,4300000.0,1.08
15,Quentin Tarantino,Four Rooms,1995-12-09,4000000.0,4300000.0,1.08
16,Steve Oedekerk,Ace Ventura: When Nature Calls,1995-11-10,30000000.0,212385533.0,7.08
17,Joseph Ruben,Money Train,1995-11-21,60000000.0,35431113.0,0.59
18,Barry Sonnenfeld,Get Shorty,1995-10-20,30250000.0,115101622.0,3.81
19,Richard Donner,Assassins,1995-10-06,50000000.0,30303072.0,0.61
20,Mike Figgis,Leaving Las Vegas,1995-10-27,3600000.0,49800000.0,13.83
21,Lesli Linka Glatter,Now and Then,1995-10-20,12000000.0,27400000.0,2.28
22,Jean-Pierre Jeunet,The City of Lost Children,1995-05-16,18000000.0,1738611.0,0.1
23,Marc Caro,The City of Lost Children,1995-05-16,18000000.0,1738611.0,0.1
24,Terry Gilliam,Twelve Monkeys,1995-12-29,29500000.0,168840000.0,5.72
25,Chris Noonan,Babe,1995-07-18,30000000.0,254134910.0,8.47
26,Tim Robbins,Dead Man Walking,1995-12-29,11000000.0,39363635.0,3.58
27,Paul W.S. Anderson,Mortal Kombat,1995-08-18,18000000.0,122195920.0,6.79
28,Gus Van Sant,To Die For,1995-05-20,20000000.0,21284514.0,1.06
29,Jocelyn Moorhouse,How To Make An American Quilt,1995-10-06,10000000.0,23574130.0,2.36
30,David Fincher,Se7en,1995-09-22,33000000.0,327311859.0,9.92
31,Mike Gabriel,Pocahontas,1995-06-14,55000000.0,346079773.0,6.29
