,franquicia,movie_count,ganancia_total,ganancia_promedio
0,00 Schneider Filmreihe,1,7000.0,7000.0
1,101 Dalmatians (Animated) Collection,1,27281507.0,27281507.0
2,101 Dalmatians (Live-Action) Collection,2,39283125.0,19641562.5
3,12 Rounds Collection,1,696681.0,696681.0
4,2 Days In... Collection,1,3106835.0,3106835.0
5,20th Century Boys Collection,1,52424533.0,52424533.0
6,30 Days of Night Collection,1,54926886.0,54926886.0
7,48 Hrs. Collection,1,4865000.0,4865000.0
8,9½ Weeks Collection,1,36230219.0,36230219.0
9,A Better Tomorrow Collection,1,14182492.0,14182492.0
10,A Goofy Movie Collection,1,35348597.0,35348597.0
11,A Haunted House Collection,1,47241945.0,47241945.0
12,A Nightmare on Elm Street Collection,7,263437704.0,37633957.71428572
13,Ace Ventura Collection,2,319602929.0,159801464.5
14,Aces Go Places Collection,1,12212123.0,12212123.0
15,Addams Family Collection,2,62919043.0,31459521.5
16,Agent Cody Banks Collection,1,37095657.0,37095657.0
17,Air Bud Collection,2,86673242.0,43336621.0
18,Airplane Collection,2,46989737.0,23494868.5
19,Airport Collection,2,121584834.0,60792417.0
20,Aladdin Collection,2,575266088.0,287633044.0
21,Alex Cross Collection,2,154225402.0,77112701.0
22,Alien Collection,3,530326668.0,176775556.0
23,Alien Nation Collection,1,38122105.0,38122105.0
24,Alienation Trilogy,2,192713791.0,96356895.5
25,All Dogs Go to Heaven Collection,2,29820678.0,14910339.0
26,Allan Quatermain Collection,1,38748395.0,38748395.0
27,Almighty Collection,1,20298207.0,20298207.0
28,Alvin and the Chipmunks Collection,4,293846922.0,73461730.5
29,American Graffiti Collection,2,54573862.0,27286931.0
30,American Ninja Collection,1,808114.0,808114.0
31,American Pie (Spin-off) Collection,2,76345580.0,38172790.0
32,American Pie Collection,3,373187344.0,124395781.33333333
33,Anchorman Collection,1,783766341.0,783766341.0
34,Armour of God Collection,1,34251525.0,34251525.0
35,Arthur Collection,1,8083123.0,8083123.0
36,Arthur and the Invisibles Collection,1,38085778.0,38085778.0
37,Asterix and Obelix (Animation) Collection,1,2608000.0,2608000.0
38,Austin Powers Collection,1,2628241.0,2628241.0
39,Azumi Collection,1,1600000.0,1600000.0
40,Babe Collection,2,273645281.0,136822640.5
41,Babylon 5 Collection,3,81372758.0,27124252.666666668
42,Back to the Future Collection,3,15792180.0,5264060.0
43,Bad Boys Collection,1,141407024.0,141407024.0
44,Balto Collection,1,11348324.0,11348324.0
45,Barbershop Collection,1,13885802.0,13885802.0
46,Basic Instinct Collection,1,138530565.0,138530565.0
47,Batman (DC Universe Animated) Collection,1,6908797.0,6908797.0
48,Batman Collection,3,834878068.0,278292689.3333333
49,Batman: The Dark Knight Returns Collection,1,19633027.0,19633027.0
50,Battle Royale Collection,1,44065653.0,44065653.0
51,Beauty and the Beast Collection,2,380550553.0,190275276.5
52,Before... Collection,2,34268695.0,17134347.5
53,Behind Enemy Lines Collection,1,63931.0,63931.0
54,Benvenuti al... Collection,1,4627375.0,4627375.0
55,Best of the Best Collection,2,75234790.0,37617395.0
56,Beverly Hills Chihuahua Collection,1,21819348.0,21819348.0
57,Beverly Hills Cop Collection,1,119208989.0,119208989.0
58,Billa Collection,1,349779543.0,349779543.0
59,Black Emanuelle Collection,1,17671101.0,17671101.0
60,Blade Collection,2,106010749.0,53005374.5
61,Blade Runner Collection,1,33139618.0,33139618.0
62,Blair Witch Collection,1,55707411.0,55707411.0
63,Bloodsport Collection,2,5550263.0,2775131.5
64,Brooklyn Cigar Store Collection,2,9624430.0,4812215.0
65,Brother Bear Collection,1,1569918.0,1569918.0
66,Bummer Collection,1,4500000.0,4500000.0
67,Burnt by the Sun Trilogy,2,80093511.0,40046755.5
68,Caddyshack Collection,1,5979292.0,5979292.0
69,Candyman Collection,2,26940383.0,13470191.5
70,Caprona Collection,1,16647800.0,16647800.0
71,Carnosaur Collection,1,1753979.0,1753979.0
72,Carrie Collection,2,210421100.0,105210550.0
73,Cars Collection,2,205116559.0,102558279.5
74,Cat People Collection,1,17768900.0,17768900.0
75,Cats & Dogs Collection,1,5471376.0,5471376.0
76,Center Stage Collection,1,64783827.0,64783827.0
77,Charlie Chan (Warner Oland) Collection,3,78883242.0,26294414.0
78,Cheech & Chong Collection,3,52901328.0,17633776.0
79,Children of the Corn Collection,3,97458648.0,32486216.0
80,Chili Palmer Collection,1,115101622.0,115101622.0
81,Cinderella Collection,1,154864401.0,154864401.0
82,Cinderella Story Collection,1,15992615.0,15992615.0
83,City Slickers Collection,1,754935.0,754935.0
84,Clash of the Titans Collection,1,2550508.0,2550508.0
85,Clerks Collection,1,3151130.0,3151130.0
86,Cocaine Cowboys,1,82169884.0,82169884.0
87,Cocoon Collection,2,183345438.0,91672719.0
88,Cold Prey Collection,1,35022.0,35022.0
89,Conan the Barbarian Collection,1,59612888.0,59612888.0
90,Corto Maltese,2,366343571.0,183171785.5
91,Creature From The Black Lagoon (Universal Series),1,7000000.0,7000000.0
92,Critters Collection,2,335368368.0,167684184.0
93,Crocodile Dundee Collection,1,41382841.0,41382841.0
94,Cross Collection,1,880674609.0,880674609.0
95,Cruel Intentions Collection,2,177012725.0,88506362.5
96,Daddy Day Camp Collection,2,421331624.0,210665812.0
97,Darkman Collection,1,7532911.0,7532911.0
98,Darko Collection,1,50315140.0,50315140.0
99,Dead Rising Collection,1,216972543.0,216972543.0
100,Deadly Prey Collection,1,101543.0,101543.0
101,Death Race Collection,2,19306758.0,9653379.0
102,Death Wish Collection,3,83945171.0,27981723.666666668
103,Deathstalker Collection,2,132214009.0,66107004.5
104,Department Q series,2,337703233.0,168851616.5
105,Despicable Me Collection,1,602042.0,602042.0
106,Die Fritz Lang Indien-Edition,1,5093707.0,5093707.0
107,Die Hard Collection,2,385030537.0,192515268.5
108,Dirty Dancing Collection,2,9614280.0,4807140.0
109,Dirty Harry Collection,1,27107960.0,27107960.0
110,District 13 Collection,1,39041505.0,39041505.0
111,Dorm Daze Collection,1,122233971.0,122233971.0
112,Dr. Dolittle Collection,1,189198313.0,189198313.0
113,Dr. Phibes Collection,1,15200000.0,15200000.0
114,Dracula (Hammer Series),1,2945242.0,2945242.0
115,Dracula (Universal Series),2,95150624.0,47575312.0
116,Dracula 2000 Collection,1,331926147.0,331926147.0
117,Dragon Ball Collection,1,22044277.0,22044277.0
118,Dragon Ball Z (Movie) Collection,4,41444634.0,10361158.5
119,Dragon Ball Z OVA Collection,1,198802074.0,198802074.0
120,DragonHeart Collection,1,115267375.0,115267375.0
121,Dreileben,1,226904017.0,226904017.0
122,Drunken Master Collection,3,204853565.0,68284521.66666667
123,Dumb and Dumber Collection,1,247275374.0,247275374.0
124,Dungeons & Dragons Collection,1,7060876.0,7060876.0
125,East is East Collection,1,37036004.0,37036004.0
126,Easy Money Collection,2,63830468.0,31915234.0
127,Elizabeth Collection,1,116672912.0,116672912.0
128,Emmanuelle Collection,1,470490832.0,470490832.0
129,Enter the Ninja Collection,1,216166.0,216166.0
130,Ernest Collection,4,38718800.0,9679700.0
131,Escape From ... Collection,1,90000098.0,90000098.0
132,Evangelion Collection,1,39481.0,39481.0
133,Evil Dead Collection,2,99123808.0,49561904.0
134,Fantasia Collection,1,300135367.0,300135367.0
135,Fantastic Four Collection,1,16809014.0,16809014.0
136,Fantozzi Collection,2,9280332.0,4640166.0
137,Fatal Fury Collection,1,28000000.0,28000000.0
138,Father of the Bride Collection,2,77164515.0,38582257.5
139,Final Fantasy Collection,3,147825461.0,49275153.666666664
140,Finding Nemo Collection,1,20867919.0,20867919.0
141,Fletch Collection,2,51867000.0,25933500.0
142,Flowers in the Attic Collection,2,1587887.0,793943.5
143,Flubber Collection,2,135563118.0,67781559.0
144,Frankenstein (Hammer Series),2,63493722.0,31746861.0
145,Frankenstein (Universal Series),2,13012189.0,6506094.5
146,Free Willy Collection,2,198030640.0,99015320.0
147,Freeway Collection,1,572000000.0,572000000.0
148,French Connection Collection,1,37402877.0,37402877.0
149,Friday Collection,2,118899834.0,59449917.0
150,Friday the 13th Collection,8,249591191.0,31198898.875
151,Fright Night Collection,1,14363400.0,14363400.0
152,From Dusk Till Dawn Collection,2,25953422.0,12976711.0
153,Fuga de cerebros - Collection,1,1156000.0,1156000.0
154,Futurama Collection,1,37707444.0,37707444.0
155,G.I. Joe (Live-Action) Collection,1,73830340.0,73830340.0
156,Ghost Rider Collection,1,3338228.0,3338228.0
157,Ghostbusters Collection,1,25059640.0,25059640.0
158,Ginger Snaps Collection,1,6700000.0,6700000.0
159,Goal! Collection,1,92076.0,92076.0
160,Godzilla (Heisei) Collection,2,20677075.0,10338537.5
161,Godzilla (Millennium) Collection,1,82394288.0,82394288.0
162,Godzilla (Showa) Collection,4,7658115.0,1914528.75
163,Gor Collection,1,27437881.0,27437881.0
164,Grease Collection,1,44726644.0,44726644.0
165,Green Street Hooligans Collection,1,1179676.0,1179676.0
166,Grindhouse Collection,1,289047763.0,289047763.0
167,Grumpy Old Men Collection,1,123922370.0,123922370.0
168,Guinea Pig Collection,1,603900354.0,603900354.0
169,Halloween (Rob Zombie Series) Collection,1,15071514.0,15071514.0
170,Halloween Collection,6,176103819.0,29350636.5
171,Happy Feet Collection,1,55247881.0,55247881.0
172,Hard Target Collection,1,74189677.0,74189677.0
173,Harold & Kumar Collection,1,105173115.0,105173115.0
174,Harry Potter Collection,6,166208020.0,27701336.666666668
175,Heart of Gold Collection,1,260562.0,260562.0
176,Heavy Metal Collection,1,120072577.0,120072577.0
177,Hellboy Collection,2,12498282.0,6249141.0
178,Hellraiser Collection,2,18419858.0,9209929.0
179,Herbie Collection,2,58625550.0,29312775.0
180,Highlander Collection,2,82658563.0,41329281.5
181,Home Alone Collection,2,491184675.0,245592337.5
182,"Honey, I Shrunk the Kids Collection",1,39514713.0,39514713.0
183,Hoodwinked! Collection,1,80578934.0,80578934.0
184,Hot Shots! Collection,1,133752825.0,133752825.0
185,House Collection,1,37803872.0,37803872.0
186,House of 1000 Corpses Collection,1,209151.0,209151.0
187,House on Haunted Hill Collection,1,141195658.0,141195658.0
188,Housefull Collection,1,5500000.0,5500000.0
189,How to Train Your Dragon Collection,1,64572262.0,64572262.0
190,I Am Curious Collection,1,15614000.0,15614000.0
191,I Know What You Did Last Summer Collection,1,82150642.0,82150642.0
192,Ice Age Collection,2,76785058.0,38392529.0
193,If I Were You Collection,1,17393.0,17393.0
194,Il Maresciallo Giraldi Collection,1,25434291.0,25434291.0
195,"Ilsa, She Wolf of the SS Collection",1,17472.0,17472.0
196,In the Name of the King Collection,1,7034007.0,7034007.0
197,Independence Day Collection,1,16491080.0,16491080.0
198,Indiana Jones Collection,3,551706763.0,183902254.33333334
199,Infernal Affairs Collection,1,162944923.0,162944923.0
200,Inspector Gadget Collection,1,10571408.0,10571408.0
201,Iron Man Collection,1,125.0,125.0
202,Jack Reacher Collection,1,23275.0,23275.0
203,Jackass Collection,1,26279000.0,26279000.0
204,James Bond Collection,13,1483856622.0,114142817.07692307
205,Joe Dirt Collection,1,852206.0,852206.0
206,Joy Ride Collection,1,56032889.0,56032889.0
207,Ju-on Collection,1,21126225.0,21126225.0
208,Jurassic Park Collection,2,920129494.0,460064747.0
209,Keinohrhasen Filmreihe,1,119919.0,119919.0
210,Kevin Smith: Silent Bob Speaks!,1,69474661.0,69474661.0
211,Kill Bill Collection,2,10826522.0,5413261.0
212,Korengal Valley Documentaries,1,851517.0,851517.0
213,Krrish Collection,1,135330182.0,135330182.0
214,Kung Fu Panda Collection,1,3964682.0,3964682.0
215,La trilogie de la mort – Nacho Cerda,1,122550.0,122550.0
216,Lady and the Tramp Collection,1,205843612.0,205843612.0
217,Laid to Rest Collection,1,41037742.0,41037742.0
218,Lavalantula Collection,1,91709827.0,91709827.0
219,Le Gendarme de St. Tropez Collection,1,41424067.0,41424067.0
220,Legally Blonde Collection,1,17374595.0,17374595.0
221,Leprechaun Collection (Original Series),5,236237592.0,47247518.4
222,Les Tuche,1,4817642.0,4817642.0
223,Lethal Weapon Collection,4,192355617.0,48088904.25
224,Lilo & Stitch Collection,1,5400000.0,5400000.0
225,Little Nicholas Collection,1,414351546.0,414351546.0
226,Lone Wolf and Cub Collection,1,140073390.0,140073390.0
227,Lonesome Dove Collection,1,1666511.0,1666511.0
228,Lost Boys Collection,1,51881013.0,51881013.0
229,Lucky Luke (Animation) Collection,1,147315.0,147315.0
230,Mad Max Collection,3,76071811.0,25357270.333333332
231,Maigret (Rowan Atkinson) Collection,1,83080890.0,83080890.0
232,Major League Collection,1,793775.0,793775.0
233,Mandıra Filozofu Serisi,1,11083449.0,11083449.0
234,Mannequin Collection,1,32222567.0,32222567.0
235,Marley & Me Collection,2,254296464.0,127148232.0
236,Meet the Parents Collection,1,102000000.0,102000000.0
237,Megazone 23 Collection,1,3848034.0,3848034.0
238,Men In Black Collection,1,21291.0,21291.0
239,Mexico Trilogy,1,25405445.0,25405445.0
240,Mimic Collection,1,100523181.0,100523181.0
241,Mirrors Collection,1,73762516.0,73762516.0
242,Miss Congeniality Collection,1,8524534.0,8524534.0
243,Missing in Action Collection,1,20603715.0,20603715.0
244,Mission: Impossible Collection,3,460382174.0,153460724.66666666
245,Monster High Collection,2,346488.0,173244.0
246,Mortal Kombat Collection,1,122195920.0,122195920.0
247,Mr. Bean Collection,1,85300000.0,85300000.0
248,Mr. Moto Collection,1,111731.0,111731.0
249,Naked Collection,1,3200000.0,3200000.0
250,Naked Fear Collection,1,381509870.0,381509870.0
251,Naked Gun Collection,2,61169988.0,30584994.0
252,National Treasure Collection,1,24829644.0,24829644.0
253,Never Back Down Collection,2,18145425.0,9072712.5
254,Night of the Demons Collection,1,10090429.0,10090429.0
255,On Any Sunday Collection,1,17037887.0,17037887.0
256,Once Upon a Time in China Collection,1,8800000.0,8800000.0
257,One Piece Collection,1,60.0,60.0
258,Ong Bak Collection,1,60000000.0,60000000.0
259,Open Season Collection,2,261692744.0,130846372.0
260,Osobennosti Natsionalnoy ... - Collection,1,2118871.0,2118871.0
261,Pacific Rim Collection,1,743559607.0,743559607.0
262,Paradise Lost Collection,1,129832389.0,129832389.0
263,Percy Jackson Collection,1,402539.0,402539.0
264,Peter Pan Collection,1,215880014.0,215880014.0
265,Phantasm Collection,1,13609396.0,13609396.0
266,Philo & Clyde Collection,2,657490238.0,328745119.0
267,Pirates of the Caribbean Collection,2,246331296.0,123165648.0
268,Planet of the Apes (Reboot) Collection,1,6676471.0,6676471.0
269,Planet of the Apes Original Collection,4,86239739.0,21559934.75
270,Pocahontas Collection,1,346079773.0,346079773.0
271,Poison Ivy Collection,1,50100000.0,50100000.0
272,Pokémon Collection,3,33686537.0,11228845.666666666
273,Police Academy Collection,6,430238362.0,71706393.66666667
274,Police Story Collection,3,257553420.0,85851140.0
275,Poltergeist Collection,3,178523860.0,59507953.333333336
276,Power Rangers Collection,2,73240837.0,36620418.5
277,Predator Collection,1,38435947.0,38435947.0
278,Problem Child Collection,1,151668774.0,151668774.0
279,Psycho Collection,3,21402699.0,7134233.0
280,Pulse Collection,1,9500000.0,9500000.0
281,Pusher Collection,1,8475466.0,8475466.0
282,Qatsi Collection,2,148962066.0,74481033.0
283,Race Collection,1,2685453.0,2685453.0
284,Rambo Collection,2,341811000.0,170905500.0
285,Re-Animator Collection,1,21028755.0,21028755.0
286,Resident Evil: Biohazard,1,40120144.0,40120144.0
287,Return of the Living Dead Collection,2,10829338.0,5414669.0
288,Ringu Collection,2,29969003.0,14984501.5
289,Road to Collection,1,344.0,344.0
290,Robert Langdon Collection,1,852872.0,852872.0
291,RoboCop Collection,1,10696210.0,10696210.0
292,Robot Jox Collection,1,8708932.0,8708932.0
293,Rocky Collection,5,625305256.0,125061051.2
294,Romancing the Stone Collection,2,314228515.0,157114257.5
295,Rugrats Collection,1,96085477.0,96085477.0
296,Rurouni Kenshin Live-Action Collection,1,273747.0,273747.0
297,Rush Hour Collection,1,254190.0,254190.0
298,Sailor Moon Collection,1,134552.0,134552.0
299,Sami Swoi Collection,1,5530764.0,5530764.0
300,Scary Movie Collection,3,16965396.0,5655132.0
301,Scooby-Doo Collection,2,22492559.0,11246279.5
302,Scream Collection,1,5471088.0,5471088.0
303,Sex and the City Collection,1,25.0,25.0
304,Sharktopus Collection,1,84025816.0,84025816.0
305,She Collection,1,6086508.0,6086508.0
306,Sherlock Holmes (1939 series),2,486215.0,243107.5
307,Sherlock Holmes Collection,1,2787965087.0,2787965087.0
308,Short Circuit Collection,2,19595039.0,9797519.5
309,Showgirls Collection,1,20350754.0,20350754.0
310,Sides of the Bed,1,63102666.0,63102666.0
311,Silence of God Trilogy by Ingmar Bergman,1,11798616.0,11798616.0
312,Silent Hill Collection,1,77920346.0,77920346.0
313,"Silent Night, Deadly Night Collection",2,167929399.0,83964699.5
314,Simon Brenner Collection,1,473993.0,473993.0
315,Sister Act Collection,1,48169908.0,48169908.0
316,Six Degrees of Celebration Collection,1,868439.0,868439.0
317,Slayers - Movie Collection,2,20400000.0,10200000.0
318,Sniper Collection,1,203277636.0,203277636.0
319,Son of Batman Collection,1,59700000.0,59700000.0
320,Species Collection,1,113374103.0,113374103.0
321,Speed Collection,1,350448145.0,350448145.0
322,Spider-Man Collection,2,5005965.0,2502982.5
323,SpongeBob Collection,1,40203020.0,40203020.0
324,Spy Kids Collection,1,20458340.0,20458340.0
325,Stake Land Collection,1,24922237.0,24922237.0
326,Star Crash Collection,1,10018.0,10018.0
327,Star Trek: The Next Generation Collection,2,123803298.0,61901649.0
328,Star Trek: The Original Series Collection,5,642931094.0,128586218.8
329,Star Wars Collection,4,974710414.0,243677603.5
330,Stargate SG-1 Collection,2,1176361.0,588180.5
331,Starship Troopers Collection,1,68706993.0,68706993.0
332,Stepford Collection,1,7936012.0,7936012.0
333,Street Fighter,1,99423521.0,99423521.0
334,Stuart Little Collection,1,37664855.0,37664855.0
335,Super Troopers Collection,1,61141030.0,61141030.0
336,Superman / Batman (Animated) Collection,1,161001698.0,161001698.0
337,Superman Collection,2,490676724.0,245338362.0
338,Swan Princess Series,1,9771658.0,9771658.0
339,Sällskapsresorna,1,126737428.0,126737428.0
340,Síť (kolekce),1,110627965.0,110627965.0
341,Taken Collection,1,84601681.0,84601681.0
342,Tales of the Four Seasons,1,235483004.0,235483004.0
343,Tangled Collection,1,871279.0,871279.0
344,Teen Wolf Collection,1,202000.0,202000.0
345,Teenage Apocalypse Trilogy,2,263920803.0,131960401.5
346,Teenage Mutant Ninja Turtles (Original) Collection,2,203193062.0,101596531.0
347,Tengen Toppa Gurren Lagann Collection,1,16178959.0,16178959.0
348,Tetsuo Collection,1,4594452.0,4594452.0
349,Texas Chainsaw (Reboot) Collection,2,17829847.0,8914923.5
350,Texas Chainsaw Massacre Collection,3,54830406.0,18276802.0
351,The Adventures of Antoine Doinel,1,9250000.0,9250000.0
352,The Amityville Horror Collection,6,227455596.0,37909266.0
353,The Apu Collection,2,552364.0,276182.0
354,The Bible Collection,1,4778376.0,4778376.0
355,The Blue Lagoon collection,2,87311909.0,43655954.5
356,The Boogeyman Collection,1,35294470.0,35294470.0
357,The Boondock Saints Collection,1,161834276.0,161834276.0
358,The Bourne Collection,2,75597694.0,37798847.0
359,The Butterfly Effect Collection,1,167000.0,167000.0
360,The Carry On Collection,3,160861457.0,53620485.666666664
361,The Cell Collection,1,7070330.0,7070330.0
362,The Chronicles of Riddick Collection,2,30835196.0,15417598.0
363,The Collector Collection,1,205298907.0,205298907.0
364,The Crow Collection,2,127459416.0,63729708.0
365,The Decline of Western Civilization Collection,1,7000000.0,7000000.0
366,The Delta Force Collection,1,6212282.0,6212282.0
367,The Descent Collection,1,121147947.0,121147947.0
368,The Dirty Dozen Collection,1,92921203.0,92921203.0
369,The Disappearance Of Eleanor Rigby,1,7500000.0,7500000.0
370,The Discworld Collection,1,2957978.0,2957978.0
371,The Dukes Of Hazzard Collection,1,1300000.0,1300000.0
372,The Exorcist Collection,4,667630673.0,166907668.25
373,The Eye Collection,2,38804617.0,19402308.5
374,The Fast and the Furious Collection,1,176070171.0,176070171.0
375,The Fjällbacka Murders,1,18803648.0,18803648.0
376,The Flintstones (Live-Action) Collection,1,341631208.0,341631208.0
377,The Fly (1958 series),1,12534961.0,12534961.0
378,The Fly Collection,2,10177431.0,5088715.5
379,The Fox and the Hound Collection,1,17900000.0,17900000.0
380,The Fugitive / U.S. Marshals Collection,1,368875760.0,368875760.0
381,The Gamers Collection,1,230069.0,230069.0
382,The Gate Collection,1,37962774.0,37962774.0
383,The Godfather Collection,2,62925690.0,31462845.0
384,The Gods Must Be Crazy Collection,1,7800000.0,7800000.0
385,The Gremlins Collection,2,549585513.0,274792756.5
386,The Grudge Collection,1,907456.0,907456.0
387,The Hangover Collection,1,43059790.0,43059790.0
388,The Hannibal Lecter Anthology,4,378121167.0,94530291.75
389,The Hills Have Eyes (Reboot) Collection,1,84146832.0,84146832.0
390,The Hitcher (1986) Collection,1,15260000.0,15260000.0
391,The Howling Collection,1,21378361.0,21378361.0
392,The Incredible Hulk (TV Movie) Collection,2,526433199.0,263216599.5
393,The Invisible Man (Universal Series),2,374771177.0,187385588.5
394,The Jack Ryan Collection,3,579009126.0,193003042.0
395,The Jake Gittes Collection,1,27200000.0,27200000.0
396,The Jaws Collection,3,628967095.0,209655698.33333334
397,The Jungle Book Collection,1,8551228.0,8551228.0
398,The Karate Kid Collection,3,120060633.0,40020211.0
399,The Klapisch Trilogy,2,760365972.0,380182986.0
400,The Land Before Time Collection,1,22611954.0,22611954.0
401,The Last Exorcism Collection,1,823258.0,823258.0
402,The Lawnmower Man Collection,2,288623511.0,144311755.5
403,The Librarian Collection,2,969059140.0,484529570.0
404,The Lion King Collection,2,794241776.0,397120888.0
