,movie_title
0,Toy Story
1,Jumanji
2,Grumpier Old Men
3,Waiting to Exhale
4,Father of the Bride Part II
5,Heat
6,Sabrina
7,Tom and Huck
8,Sudden Death
9,GoldenEye
10,The American President
11,Dracula: Dead and Loving It
12,Balto
13,Nixon
14,Cutthroat Island
15,Casino
16,Sense and Sensibility
17,Four Rooms
18,Four Rooms
19,Four Rooms
20,Four Rooms
21,Ace Ventura: When Nature Calls
22,Money Train
23,Get Shorty
24,Copycat
25,Assassins
26,Powder
27,Leaving Las Vegas
28,Othello
29,Now and Then
30,Persuasion
31,The City of Lost Children
32,The City of Lost Children
33,Shanghai Triad
34,Dangerous Minds
35,Twelve Monkeys
36,Wings of Courage
37,Babe
38,Carrington
39,Dead Man Walking
40,Across the Sea of Time
41,It Takes Two
42,Clueless
43,"Cry, the Beloved Country"
44,Richard III
45,Dead Presidents
46,Dead Presidents
47,Restoration
48,Mortal Kombat
49,To Die For
50,How To Make An American Quilt
51,Se7en
52,Pocahontas
53,Pocahontas
54,When Night Is Falling
55,The Usual Suspects
56,Guardian Angel
57,Mighty Aphrodite
58,Lamerica
59,The Big Green
60,Georgia
61,Kids of the Round Table
62,Home for the Holidays
63,The Postman
64,The Confessional
65,The Indian in the Cupboard
66,Eye for an Eye
67,Mr. Holland's Opus
68,Don't Be a Menace to South Central While Drinking Your Juice in the Hood
69,Two If by Sea
70,Bio-Dome
71,Lawnmower Man 2: Beyond Cyberspace
72,Two Bits
73,French Twist
74,Friday
75,From Dusk Till Dawn
76,Fair Game
77,Kicking and Screaming
78,Les Miserables
79,Bed of Roses
80,Big Bully
81,Screamers
82,Nico Icon
83,The Crossing Guard
84,The Juror
85,The White Balloon
86,Things to Do in Denver When You're Dead
87,Antonia's Line
88,Once Upon a Time... When We Were Colored
89,Last Summer in the Hamptons
90,Angels and Insects
91,White Squall
92,Dunston Checks In
93,Black Sheep
94,Nick of Time
95,The Journey of August King
96,Mary Reilly
97,Vampire in Brooklyn
98,Beautiful Girls
99,Broken Arrow
100,A Midwinter's Tale
101,La Haine
102,Shopping
103,Heidi Fleiss: Hollywood Madam
104,City Hall
105,Bottle Rocket
106,Mr. Wrong
107,Unforgettable
108,Happy Gilmore
109,The Bridges of Madison County
110,Nobody Loves Me
111,Muppet Treasure Island
112,Catwalk
113,Headless Body in Topless Bar
114,Braveheart
115,Taxi Driver
116,Rumble in the Bronx
117,Before and After
118,Margaret's Museum
119,Happiness Is in the Field
120,Anne Frank Remembered
121,The Young Poisoner's Handbook
122,If Lucy Fell
123,Steal Big Steal Little
124,Race the Sun
125,The Boys of St. Vincent
126,Boomerang
127,Chungking Express
128,The Star Maker
129,Flirting with Disaster
130,The Neverending Story III: Escape from Fantasia
131,The Silences of the Palace
132,Jupiter's Wife
133,Pie in the Sky
134,Angela
135,Frankie Starlight
136,Jade
137,Nueba Yol
138,Sonic Outlaws
139,Down Periscope
140,From the Journals of Jean Seberg
141,Man of the Year
142,The Neon Bible
143,Target
144,Up Close & Personal
145,The Birdcage
146,Virgin Mary
147,The Brothers McMullen
148,Bad Boys
149,The Amazing Panda Adventure
150,The Basketball Diaries
151,An Awfully Big Adventure
152,Amateur
153,Apollo 13
154,Rob Roy
155,The Addiction
156,Batman Forever
157,Belle de Jour
158,Beyond Rangoon
159,Blue in the Face
160,Blue in the Face
161,Canadian Bacon
162,Casper
163,Clockers
164,Congo
165,Crimson Tide
166,Crumb
167,Desperado
168,Devil in a Blue Dress
169,Die Hard: With a Vengeance
170,The Doom Generation
171,Feast of July
172,First Knight
173,Free Willy 2 - The Adventure Home
174,Hackers
175,Jeffrey
176,Johnny Mnemonic
177,Judge Dredd
178,Jury Duty
179,Kids
180,Living in Oblivion
181,Lord of Illusions
182,Love & Human Remains
183,Mad Love
184,Mallrats
185,Mighty Morphin Power Rangers: The Movie
186,Moonlight and Valentino
187,Mute Witness
188,Nadja
189,The Net
190,Nine Months
191,Party Girl
192,The Prophecy
193,Reckless
194,Safe
195,The Scarlet Letter
196,The Show
197,Showgirls
198,Smoke
199,Smoke
200,Something to Talk About
201,Species
202,The Stars Fell on Henrietta
203,Strange Days
204,The Umbrellas of Cherbourg
205,The Tie That Binds
206,Three Wishes
207,Total Eclipse
208,"To Wong Foo, Thanks for Everything! Julie Newmar"
209,Under Siege 2: Dark Territory
210,Unstrung Heroes
211,Unzipped
212,A Walk in the Clouds
213,Waterworld
214,White Man's Burden
215,Wild Bill
216,The Browning Version
217,Bushwhacked
218,Burnt by the Sun
219,Before the Rain
