,movie_title,release_year,runtime
0,Toy Story,1995,81.0
1,Jumanji,1995,104.0
2,Grumpier Old Men,1995,101.0
3,Waiting to Exhale,1995,127.0
4,Father of the Bride Part II,1995,106.0
5,Heat,1995,170.0
6,Heat,1972,102.0
7,Heat,1986,101.0
8,Sabrina,1995,127.0
9,Sabrina,1954,113.0
10,Tom and Huck,1995,97.0
11,Sudden Death,1995,106.0
12,GoldenEye,1995,130.0
13,The American President,1995,106.0
14,Dracula: Dead and Loving It,1995,88.0
15,Balto,1995,78.0
16,Nixon,1995,192.0
17,Cutthroat Island,1995,119.0
18,Casino,1995,178.0
19,Sense and Sensibility,1995,136.0
20,Sense and Sensibility,2008,174.0
21,Sense and Sensibility,1981,174.0
22,Sense and Sensibility,1971,178.0
23,Four Rooms,1995,98.0
24,Ace Ventura: When Nature Calls,1995,90.0
25,Money Train,1995,103.0
26,Get Shorty,1995,105.0
27,Copycat,1995,124.0
28,Assassins,1995,132.0
29,Powder,1995,111.0
30,Leaving Las Vegas,1995,112.0
31,Othello,1995,123.0
32,Othello,1951,90.0
33,Othello,1965,165.0
34,Othello,1981,204.0
35,Now and Then,1995,100.0
36,Persuasion,1995,104.0
37,Persuasion,2007,93.0
38,Persuasion,1971,300.0
39,The City of Lost Children,1995,108.0
40,Shanghai Triad,1995,108.0
41,Dangerous Minds,1995,99.0
42,Twelve Monkeys,1995,129.0
43,Wings of Courage,1996,50.0
44,Babe,1995,89.0
45,Carrington,1995,121.0
46,Dead Man Walking,1995,122.0
47,Across the Sea of Time,1995,51.0
48,It Takes Two,1995,101.0
49,It Takes Two,1988,78.0
50,Clueless,1995,97.0
51,"Cry, the Beloved Country",1995,106.0
52,"Cry, the Beloved Country",1952,103.0
53,Richard III,1995,104.0
54,Richard III,1955,161.0
55,Richard III,1912,55.0
56,Dead Presidents,1995,119.0
57,Restoration,1995,117.0
58,Restoration,2016,90.0
59,Mortal Kombat,1995,101.0
60,To Die For,1995,106.0
61,How To Make An American Quilt,1995,116.0
62,Se7en,1995,127.0
63,Pocahontas,1995,81.0
64,When Night Is Falling,1995,96.0
65,The Usual Suspects,1995,106.0
66,Guardian Angel,1994,93.0
67,Mighty Aphrodite,1995,95.0
68,Lamerica,1994,116.0
69,Lamerica,2015,43.0
70,The Big Green,1995,100.0
71,Georgia,1995,115.0
72,Kids of the Round Table,1997,89.0
73,Home for the Holidays,1995,103.0
74,Home for the Holidays,1974,73.0
75,The Postman,1994,108.0
76,The Postman,1997,177.0
77,The Confessional,1995,100.0
78,The Indian in the Cupboard,1995,96.0
79,Eye for an Eye,1996,101.0
80,Eye for an Eye,1966,20.0
81,Mr. Holland's Opus,1995,137.0
82,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,89.0
83,Two If by Sea,1996,96.0
84,Bio-Dome,1996,88.0
85,Lawnmower Man 2: Beyond Cyberspace,1996,92.0
86,Two Bits,1995,85.0
87,French Twist,1995,95.0
88,Friday,1995,91.0
89,Friday,2016,87.0
90,From Dusk Till Dawn,1996,108.0
91,Fair Game,1995,91.0
92,Fair Game,2010,108.0
93,Fair Game,1986,90.0
94,Kicking and Screaming,1995,96.0
95,Les Miserables,1995,175.0
96,Les Miserables,1952,105.0
97,Bed of Roses,1996,87.0
98,Bed of Roses,1933,67.0
99,Big Bully,1996,90.0
100,Screamers,1995,108.0
101,Screamers,2006,91.0
102,Nico Icon,1995,70.0
103,The Crossing Guard,1995,111.0
104,The Juror,1996,118.0
105,The White Balloon,1995,85.0
106,Things to Do in Denver When You're Dead,1995,116.0
107,Antonia's Line,1995,102.0
108,Once Upon a Time... When We Were Colored,1996,115.0
109,Last Summer in the Hamptons,1995,108.0
110,Angels and Insects,1995,118.0
111,White Squall,1996,129.0
112,Dunston Checks In,1996,88.0
113,Black Sheep,1996,87.0
114,Black Sheep,2006,87.0
115,Black Sheep,2006,94.0
116,Nick of Time,1995,90.0
117,The Journey of August King,1995,91.0
118,Mary Reilly,1996,104.0
119,Vampire in Brooklyn,1995,100.0
120,Beautiful Girls,1996,112.0
121,Broken Arrow,1996,108.0
122,Broken Arrow,1950,93.0
123,A Midwinter's Tale,1995,99.0
124,La Haine,1995,98.0
125,Shopping,1994,105.0
126,Heidi Fleiss: Hollywood Madam,1995,106.0
127,City Hall,1996,111.0
128,Bottle Rocket,1996,91.0
129,Mr. Wrong,1996,96.0
130,Unforgettable,1996,106.0
131,Unforgettable,2017,100.0
132,Happy Gilmore,1996,92.0
133,The Bridges of Madison County,1995,135.0
134,Nobody Loves Me,1994,104.0
135,Muppet Treasure Island,1996,100.0
136,Catwalk,1995,95.0
137,Headless Body in Topless Bar,1995,110.0
138,Braveheart,1995,177.0
139,Taxi Driver,1976,114.0
140,Rumble in the Bronx,1995,91.0
141,Before and After,1996,108.0
142,Margaret's Museum,1995,114.0
143,Happiness Is in the Field,1995,106.0
144,Anne Frank Remembered,1995,117.0
145,The Young Poisoner's Handbook,1995,99.0
146,If Lucy Fell,1996,92.0
147,Steal Big Steal Little,1995,113.0
148,Race the Sun,1996,100.0
149,The Boys of St. Vincent,1992,90.0
150,Boomerang,1992,117.0
151,Chungking Express,1994,102.0
152,The Star Maker,1995,113.0
153,Flirting with Disaster,1996,92.0
154,The Neverending Story III: Escape from Fantasia,1994,95.0
155,The Silences of the Palace,1994,116.0
156,Jupiter's Wife,1995,87.0
157,Pie in the Sky,1996,95.0
158,Pie in the Sky,1935,22.0
159,Angela,1995,99.0
160,Frankie Starlight,1995,101.0
161,Jade,1995,95.0
162,Nueba Yol,1995,102.0
163,Sonic Outlaws,1995,87.0
164,Down Periscope,1996,92.0
165,From the Journals of Jean Seberg,1995,97.0
166,Man of the Year,1995,86.0
167,Man of the Year,2006,115.0
168,The Neon Bible,1995,91.0
169,Target,1995,122.0
170,Target,1985,117.0
171,Target,2011,158.0
172,Up Close & Personal,1996,119.0
173,The Birdcage,1996,117.0
174,Virgin Mary,1995,125.0
175,The Brothers McMullen,1995,98.0
176,Bad Boys,1995,118.0
177,Bad Boys,1983,104.0
178,Bad Boys,2003,120.0
179,Bad Boys,2014,100.0
180,The Amazing Panda Adventure,1995,81.0
181,The Basketball Diaries,1995,102.0
182,An Awfully Big Adventure,1995,113.0
183,Amateur,1994,105.0
184,Apollo 13,1995,140.0
185,Rob Roy,1995,139.0
186,The Addiction,1995,82.0
187,Batman Forever,1995,121.0
188,Belle de Jour,1967,101.0
189,Beyond Rangoon,1995,100.0
190,Blue in the Face,1995,83.0
191,Canadian Bacon,1995,91.0
192,Casper,1995,100.0
193,Clockers,1995,128.0
194,Congo,1995,109.0
195,Crimson Tide,1995,116.0
196,Crumb,1994,119.0
197,Desperado,1995,104.0
198,Devil in a Blue Dress,1995,102.0
199,Die Hard: With a Vengeance,1995,128.0
200,The Doom Generation,1995,80.0
201,Feast of July,1995,116.0
202,First Knight,1995,134.0
203,Free Willy 2 - The Adventure Home,1995,95.0
204,Hackers,1995,107.0
205,Jeffrey,1995,92.0
206,Johnny Mnemonic,1995,97.0
207,Judge Dredd,1995,96.0
208,Jury Duty,1995,88.0
209,Kids,1995,91.0
210,Living in Oblivion,1995,89.0
211,Lord of Illusions,1995,119.0
212,Love & Human Remains,1993,100.0
213,Mad Love,1995,95.0
214,Mad Love,2001,115.0
215,Mad Love,1935,68.0
216,Mad Love,1921,82.0
217,Mad Love,1985,101.0
218,Mallrats,1995,94.0
219,Mighty Morphin Power Rangers: The Movie,1995,92.0
220,Moonlight and Valentino,1995,100.0
221,Mute Witness,1995,95.0
222,Nadja,1994,93.0
223,The Net,1995,114.0
224,The Net,2003,121.0
225,Nine Months,1995,103.0
226,Party Girl,1995,94.0
227,Party Girl,1958,99.0
228,Party Girl,2014,95.0
229,The Prophecy,1995,98.0
230,Reckless,1995,91.0
231,Reckless,1984,90.0
232,Safe,1995,119.0
233,Safe,2012,94.0
234,The Scarlet Letter,1995,135.0
235,The Scarlet Letter,1926,115.0
236,The Scarlet Letter,1979,240.0
237,The Scarlet Letter,1973,90.0
238,The Show,1995,93.0
239,The Show,1927,76.0
240,Showgirls,1995,128.0
241,Smoke,1995,112.0
242,Something to Talk About,1995,106.0
243,Species,1995,108.0
244,The Stars Fell on Henrietta,1995,109.0
245,Strange Days,1995,145.0
246,The Umbrellas of Cherbourg,1964,91.0
