,production_country,movie_count
0,Afghanistan,4
1,Albania,3
2,Algeria,8
3,Angola,8
4,Argentina,244
5,Armenia,9
6,Aruba,4
7,Australia,620
8,Austria,181
9,Bahamas,5
10,Bangladesh,2
11,Belarus,8
12,Belgium,380
13,Bermuda,1
14,Bhutan,3
15,Bolivia,9
16,Bosnia and Herzegovina,23
17,Botswana,2
18,Brazil,302
19,Brunei Darussalam,1
20,Bulgaria,41
21,Burkina Faso,13
22,Cambodia,6
23,Cameroon,6
24,Canada,1760
25,Chad,2
26,Chile,57
27,China,346
28,Colombia,21
29,Congo,4
30,Costa Rica,4
31,Croatia,34
32,Cuba,25
33,Cyprus,2
34,Czech Republic,196
35,Czechoslovakia,9
36,Denmark,352
37,Dominican Republic,6
38,East Germany,8
39,Ecuador,6
40,Egypt,21
41,El Salvador,1
42,Estonia,58
43,Ethiopia,4
44,Finland,371
45,France,3200
46,Georgia,23
47,Germany,1715
48,Ghana,2
49,Greece,149
50,Guatemala,1
51,Hong Kong,571
52,Hungary,138
53,Iceland,51
54,India,936
55,Indonesia,37
56,Iran,113
57,Iraq,2
58,Ireland,152
59,Israel,122
60,Italy,1765
61,Jamaica,5
62,Japan,1773
63,Jordan,4
64,Kazakhstan,13
65,Kyrgyz Republic,7
66,Latvia,21
67,Lebanon,6
68,Liberia,2
69,Libyan Arab Jamahiriya,6
70,Liechtenstein,1
71,Lithuania,18
72,Luxembourg,35
73,Macedonia,11
74,Malaysia,8
75,Mali,1
76,Malta,2
77,Martinique,1
78,Mauritania,3
79,Mexico,272
80,Monaco,1
81,Mongolia,5
82,Montenegro,1
83,Morocco,16
84,Myanmar,1
85,Namibia,2
86,Nepal,2
87,Netherlands,263
88,New Zealand,111
89,Nicaragua,1
90,Nigeria,4
91,North Korea,1
92,Norway,142
93,Pakistan,14
94,Palestinian Territory,7
95,Panama,4
96,Papua New Guinea,1
97,Paraguay,1
98,Peru,18
99,Philippines,77
100,Poland,290
101,Portugal,86
102,Puerto Rico,4
103,Qatar,12
104,Romania,115
105,Russia,919
106,Rwanda,2
107,Samoa,2
108,Saudi Arabia,1
109,Senegal,13
110,Serbia,74
111,Singapore,17
112,Slovakia,12
113,Slovenia,17
114,South Africa,85
115,South Korea,560
116,Soviet Union,19
117,Spain,736
118,Sri Lanka,4
119,Sweden,454
120,Switzerland,117
121,Syrian Arab Republic,1
122,Taiwan,103
123,Tajikistan,2
124,Tanzania,1
125,Thailand,100
126,Trinidad and Tobago,2
127,Tunisia,4
128,Turkey,150
129,Uganda,2
130,Ukraine,39
131,United Arab Emirates,20
132,United Kingdom,3722
133,United States Minor Outlying Islands,1
134,United States of America,22174
135,Uruguay,9
136,Uzbekistan,4
137,Venezuela,11
138,Vietnam,11
139,Yugoslavia,6
