,movie_title,language,original_language
0,Toy Story,English,en
1,Jumanji,English,en
2,Grumpier Old Men,English,en
3,Waiting to Exhale,English,en
4,Father of the Bride Part II,English,en
5,Heat,English,en
6,Heat,Français,en
7,Heat,English,en
8,Sabrina,Français,en
9,Sabrina,English,en
10,Tom and Huck,English,en
11,Sudden Death,English,en
12,GoldenEye,English,en
13,The American President,English,en
14,Dracula: Dead and Loving It,English,en
15,Balto,English,en
16,Nixon,English,en
17,Cutthroat Island,English,en
18,Casino,English,en
19,Sense and Sensibility,English,en
20,Sense and Sensibility,English,en
21,Sense and Sensibility,English,en
22,Sense and Sensibility,English,en
23,Four Rooms,English,en
24,Ace Ventura: When Nature Calls,English,en
25,Money Train,English,en
26,Get Shorty,English,en
27,Copycat,English,en
28,Assassins,English,en
29,Powder,English,en
30,Leaving Las Vegas,English,en
31,Othello,English,en
33,Othello,English,en
34,Othello,English,en
35,Now and Then,English,en
36,Persuasion,English,en
37,Persuasion,English,en
38,Persuasion,日本語,en
39,The City of Lost Children,广州话 / 廣州話,fr
40,Shanghai Triad,普通话,zh
41,Dangerous Minds,English,en
42,Twelve Monkeys,English,en
43,Wings of Courage,English,fr
44,Babe,English,en
45,Carrington,English,en
46,Dead Man Walking,English,en
47,Across the Sea of Time,Pусский,en
48,It Takes Two,English,en
49,It Takes Two,English,en
50,Clueless,Español,en
51,"Cry, the Beloved Country",English,en
52,"Cry, the Beloved Country",English,en
53,Richard III,English,en
54,Richard III,English,en
55,Richard III,普通话,en
56,Dead Presidents,English,en
57,Restoration,English,en
58,Restoration,shqip,en
59,Mortal Kombat,English,en
60,To Die For,English,en
61,How To Make An American Quilt,English,en
62,Se7en,English,en
63,Pocahontas,English,en
64,When Night Is Falling,English,en
65,The Usual Suspects,Español,en
67,Mighty Aphrodite,English,en
68,Lamerica,shqip,it
69,Lamerica,தமிழ்,en
70,The Big Green,English,en
71,Georgia,English,en
72,Kids of the Round Table,English,en
73,Home for the Holidays,English,en
74,Home for the Holidays,日本語,en
75,The Postman,Italiano,it
76,The Postman,English,en
77,The Confessional,English,fr
78,The Indian in the Cupboard,English,en
79,Eye for an Eye,English,en
80,Eye for an Eye,Español,pt
81,Mr. Holland's Opus,English,en
82,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,English,en
83,Two If by Sea,English,en
84,Bio-Dome,English,en
85,Lawnmower Man 2: Beyond Cyberspace,English,en
86,Two Bits,English,en
87,French Twist,Français,fr
88,Friday,English,en
89,Friday,English,ru
90,From Dusk Till Dawn,English,en
91,Fair Game,English,en
92,Fair Game,English,en
93,Fair Game,English,en
94,Kicking and Screaming,English,en
95,Les Miserables,Français,fr
96,Les Miserables,Srpski,en
97,Bed of Roses,English,en
98,Bed of Roses,Français,en
99,Big Bully,English,en
100,Screamers,English,en
101,Screamers,Český,en
102,Nico Icon,Deutsch,en
103,The Crossing Guard,English,en
104,The Juror,English,en
105,The White Balloon,فارسی,fa
106,Things to Do in Denver When You're Dead,English,en
107,Antonia's Line,Nederlands,nl
108,Once Upon a Time... When We Were Colored,English,en
110,Angels and Insects,English,en
111,White Squall,Dansk,en
112,Dunston Checks In,English,en
113,Black Sheep,English,en
114,Black Sheep,English,en
115,Black Sheep,Polski,de
116,Nick of Time,English,en
117,The Journey of August King,English,en
118,Mary Reilly,English,en
119,Vampire in Brooklyn,English,en
120,Beautiful Girls,English,en
121,Broken Arrow,English,en
122,Broken Arrow,English,en
123,A Midwinter's Tale,English,en
124,La Haine,Français,fr
125,Shopping,English,en
126,Heidi Fleiss: Hollywood Madam,English,en
127,City Hall,English,en
128,Bottle Rocket,Español,en
129,Mr. Wrong,English,en
130,Unforgettable,English,en
131,Unforgettable,English,en
132,Happy Gilmore,English,en
133,The Bridges of Madison County,English,en
134,Nobody Loves Me,Deutsch,de
135,Muppet Treasure Island,English,en
136,Catwalk,English,en
138,Braveheart,English,en
139,Taxi Driver,English,en
140,Rumble in the Bronx,广州话 / 廣州話,cn
141,Before and After,English,en
142,Margaret's Museum,English,en
143,Happiness Is in the Field,Français,en
144,Anne Frank Remembered,English,en
145,The Young Poisoner's Handbook,English,en
146,If Lucy Fell,English,en
147,Steal Big Steal Little,English,en
148,Race the Sun,English,en
149,The Boys of St. Vincent,English,en
150,Boomerang,Français,en
151,Chungking Express,广州话 / 廣州話,cn
152,The Star Maker,Italiano,it
153,Flirting with Disaster,English,en
154,The Neverending Story III: Escape from Fantasia,English,en
155,The Silences of the Palace,العربية,ar
157,Pie in the Sky,English,en
159,Angela,English,en
160,Frankie Starlight,English,it
161,Jade,English,en
162,Nueba Yol,Español,es
163,Sonic Outlaws,English,en
164,Down Periscope,English,en
165,From the Journals of Jean Seberg,English,en
166,Man of the Year,English,en
167,Man of the Year,Italiano,en
168,The Neon Bible,English,en
170,Target,Français,en
171,Target,English,ru
172,Up Close & Personal,Français,en
173,The Birdcage,English,en
174,Virgin Mary,English,en
175,The Brothers McMullen,English,en
176,Bad Boys,English,en
177,Bad Boys,English,en
178,Bad Boys,Deutsch,fi
179,Bad Boys,日本語,en
180,The Amazing Panda Adventure,Deutsch,en
181,The Basketball Diaries,English,en
182,An Awfully Big Adventure,English,en
183,Amateur,English,en
184,Apollo 13,English,en
185,Rob Roy,English,en
186,The Addiction,English,en
187,Batman Forever,English,en
188,Belle de Jour,Français,fr
189,Beyond Rangoon,English,en
190,Blue in the Face,English,en
191,Canadian Bacon,English,en
192,Casper,English,en
193,Clockers,English,en
194,Congo,English,en
195,Crimson Tide,English,en
196,Crumb,English,en
197,Desperado,English,en
198,Devil in a Blue Dress,English,en
199,Die Hard: With a Vengeance,English,en
200,The Doom Generation,English,en
201,Feast of July,English,en
202,First Knight,English,en
203,Free Willy 2 - The Adventure Home,English,en
204,Hackers,English,en
205,Jeffrey,English,en
206,Johnny Mnemonic,English,en
207,Judge Dredd,English,en
208,Jury Duty,English,en
209,Kids,English,en
210,Living in Oblivion,English,en
211,Lord of Illusions,English,en
212,Love & Human Remains,English,en
213,Mad Love,English,en
214,Mad Love,English,es
215,Mad Love,Français,en
216,Mad Love,English,de
218,Mallrats,English,en
219,Mighty Morphin Power Rangers: The Movie,English,en
220,Moonlight and Valentino,English,en
221,Mute Witness,Pусский,en
222,Nadja,Deutsch,en
223,The Net,English,en
224,The Net,English,de
225,Nine Months,English,en
226,Party Girl,English,en
227,Party Girl,English,en
229,The Prophecy,English,en
230,Reckless,English,en
231,Reckless,广州话 / 廣州話,en
232,Safe,English,en
233,Safe,English,en
234,The Scarlet Letter,English,en
235,The Scarlet Letter,English,en
236,The Scarlet Letter,English,en
237,The Scarlet Letter,English,de
239,The Show,English,en
240,Showgirls,English,en
241,Smoke,English,en
242,Something to Talk About,English,en
243,Species,English,en
244,The Stars Fell on Henrietta,Magyar,en
245,Strange Days,English,en
