,production_company,movie_count,ganancia_total
0,.406 Production,1,229074524.0
1,120dB Films,2,521150.0
2,14 Luglio Cinematografica,1,1310673.0
3,1492 Pictures,3,44252799.0
4,1818,1,7496681.0
5,20th Century Fox Home Entertainment,2,61438389.0
6,20th Century Fox Television,3,219975096.0
7,21st Century Film Corporation,1,16945171.0
8,26 Films,2,216257024.0
9,29 fevralya,1,2415472.0
10,2929 Productions,5,221886616.0
11,2B Films,1,939101.0
12,2Plan2,1,385680446.0
13,3 Arts Entertainment,1,2259444.0
14,3311 Productions,1,136203.0
15,3B Productions,1,6174491.0
16,3L Filmproduktion GmbH,1,3106835.0
17,3b productions,1,27388767.0
18,40 Acres & A Mule Filmworks,5,93709522.0
19,47 Entertainment,1,217022588.0
20,4th Row Films,1,17782178.0
21,5 States,1,32005248.0
22,61* Productions Inc.,1,25461.0
23,7 Network,1,16000000.0
24,7 Pictures,1,3418141.0
25,72 Productions,1,62616646.0
26,72nd Street Productions,1,226497209.0
27,9.14 Pictures,1,11838218.0
28,A & A Release,1,41637263.0
29,A Band Apart,2,25953422.0
30,A Loopy Production LLC,1,90426405.0
31,A Private View,1,16374328.0
32,A&E IndieFilms,1,23000000.0
33,A&E Television Networks,1,1390172.0
34,A&M Films,2,19325131.0
35,A+E Studios,1,282000.0
36,A-1 Kino Video,1,358375603.0
37,A-Mark Entertainment,1,41624046.0
38,A. Ninety-Three Productions,1,6333135.0
39,A24,1,9833553.0
40,AARU Productions,1,214605.0
41,AB Svenska Ord,1,38755073.0
42,AB-PT Pictures Corp.,1,181096164.0
43,ABC Circle Films,2,894302.0
44,ABC Family,2,15419384.0
45,ABC Film A/S,1,11000000.0
46,ABC Pictures,2,58518246.0
47,ABS-CBN Film Productions,1,4300000.0
48,ADV Films,1,500000.0
49,AMLF,1,3877492.0
50,APT Films,1,85446075.0
51,ARP Sélection,2,34374201.0
52,ARTE,1,42345360.0
53,ARTE France Cinéma,4,134122482.0
54,AS Productions,1,470490832.0
55,AT&T,1,347434178.0
56,ATO Pictures,1,48126384.0
57,AV Pictures,1,413106170.0
58,AVCO Embassy Pictures,4,201542889.0
59,AVEK,1,28.0
60,Aardman Animations,1,47542841.0
61,Abandon Pictures,1,163644662.0
62,Abbott Vision,1,13521829.0
63,Academy Pictures,1,2402459.0
64,Act III Communications,2,82075932.0
65,Action International Pictures,1,101543.0
66,Active Entertainment,1,187145.0
67,Adela Pictures,1,463517383.0
68,Admire Productions Ltd.,1,20217080.0
69,After Dark Films,4,39689165.0
70,Agamemnon Films,1,14000000.0
71,Agat Films & Cie,1,3360800.0
72,Agav Films,1,3003169.0
73,Agencja Produkcji Filmowej,2,358622324.0
74,Aho & Soldan,1,41412709.0
75,AireCine,1,119772232.0
76,Akson Studio,1,367638.0
77,Alameda Films,1,1632.0
78,Alberta Filmworks,1,3021345.0
79,"Albfilm, Tirana",1,85154.0
80,Albina Productions S.a.r.l.,1,116207.0
81,Alce Producciones LTDA.,1,63100000.0
82,Alcina,1,15500000.0
83,Alcina Pictures,1,858591.0
84,Alcon Entertainment,4,232453818.0
85,Alex Jones Productions,1,56386.0
86,Alexander Groupe,1,3220371.0
87,Alexandra Films,1,13831503.0
88,Alexandre Films,1,2756.0
89,Alfama Films,1,14394097.0
90,Alia Films,1,60896147.0
91,Alianza Cinematográfica Española,1,88.0
92,Alicéléo,1,6110000.0
93,Aligator Producciones,1,3432342.0
94,Alive Films,1,110879513.0
95,All Girl Productions,1,1703282.0
96,All Media Inc.,1,54915.0
97,Allarts,1,3752426.0
98,Allegro Films,1,12534817.0
99,Alliance Atlantis Communications,5,219114253.0
100,Alliance Films,2,282426634.0
101,Allianz,1,1333124.0
102,Allied Artists,2,285919771.0
103,Allied Artists Pictures,5,80633689.0
104,Allied Film Makers,1,299171.0
105,Allied Filmmakers,1,6038942.0
106,Allied Stars,1,2203.0
107,Allied Vision,1,35134820.0
108,Alloy Entertainment,1,29010817.0
109,Almighty Dog Productions,1,7527232.0
110,Almond Tree Films,1,22942221.0
111,Alpha Cinematografica,1,8235661.0
112,Alphaville Films,1,29844753.0
113,Alpine Pictures,1,871368364.0
114,Alquimia Cinema,1,343816.0
115,Alta Films,1,76901.0
116,Alta Films S.A.,1,136400000.0
117,Alta Producción,1,9789651.0
118,Alta Vista Productions,7,35865543.0
119,Ambi Pictures,1,3923970.0
120,Ambience Entertainment,1,8454301.0
121,Amblin Entertainment,11,1356636536.0
122,Amblin Television,2,252380431.0
123,American Broadcasting Company (ABC),2,60781054.0
124,American Cinema Releasing,1,9622846.0
125,American Film Institute (AFI),1,921974.0
126,American International Pictures (AIP),18,586731337.0
127,American Playhouse,1,12303904.0
128,American Zoetrope,6,218614296.0
129,American-International Television (AIP-TV),1,81705746.0
130,Amicus Productions,3,247737331.0
131,Amuse Pictures,1,1600000.0
132,Anagram Produktion,2,128563979.0
133,Anchor Bay,1,3006000.0
134,Anchor Bay Entertainment,1,84025816.0
135,Andrew Lauren Productions (ALP),1,10047674.0
136,Andy Sidaris Company,1,1803009.0
137,Ang Lee Productions,3,228749913.0
138,Angel Productions,1,38505009.0
139,Angels & Airwaves,1,25000000.0
140,Angoa-Agicoa,1,92100.0
141,Animal Kingdom,1,152761.0
142,Aniplex,1,3849941.0
143,Anker Productions Inc.,1,122126687.0
144,Anna Lena Films,1,8176544.0
145,Anonymous Content,1,74237563.0
146,Antena 3 Films,1,60251371.0
147,Anthill Productions,1,200276000.0
148,Antiteater-X-Film,1,195735876.0
149,Antoinine Green Bridge,1,100544.0
150,Antron Media Production,1,4971340.0
151,Anxiety Island Entertainment,1,78378744.0
152,Aoi Promotion,1,5476793.0
153,Apatow Productions,1,783766341.0
154,Apipoulaï,1,1025491110.0
155,ApolloMovie Beteiligungs,1,203277636.0
156,ApolloProMovie,1,4354510.0
157,ApolloProScreen Filmproduktion,1,16566240.0
158,Apostle,1,101564935.0
159,Appian Way,2,5684489.0
160,Applause Pictures,3,192693310.0
161,Apple Corps,1,42285169.0
162,Arachnid Productions Ltd.,1,123572.0
163,Arc Entertainment,1,61279452.0
164,Arc Light Films,1,75395048.0
165,Arcade Pictures,1,376597.0
166,Arcani Pictures,1,1320005.0
167,Archipel 35,1,152930623.0
168,Ardent Films,1,90449929.0
169,Arenafilm,1,259175788.0
170,Argos Films,2,47050587.0
171,Argyle Enterprises,1,17762705.0
172,Ariane Films,1,8613462.0
173,Aries Film International,1,16863583.0
174,Aries [jp],1,1960.0
175,Arizona Films,1,48911.0
176,Armada Films,1,16136.0
177,Arrowstorm Entertainment,2,88621650.0
178,Art Theatre Guild,2,358982861.0
179,Artanis Productions Inc.,1,21202829.0
180,Arte,7,1087406189.0
181,Arte France Cinéma,1,16810383.0
182,Artes Productions,1,2294357.0
183,Artisan Entertainment,5,206076543.0
184,Artistes Alliance Ltd.,1,34694.0
185,Artists Entertainment Complex,2,35021439.0
186,Artists Public Domain,1,85564310.0
187,Arts Council of England,7,265872575.0
188,Arts Council of Great Britain,1,26049082.0
189,Artémis Productions,1,3897569.0
190,Arwin Productions,1,6792000.0
191,Ascot Elite Home Entertainment,1,36782781.0
192,Ashok Kumar Productions,1,11787127.0
193,Aspiration Films,1,3547209.0
194,Associated British Picture Corporation,1,249288105.0
195,Associated British-Pathé,1,81071.0
196,Associated Players & Producers,1,4607608.0
197,Associated Producers (API),2,12534964.0
198,Association coopérative des productions audio-visuelles (ACPAV),1,60765.0
199,Asylum Entertainment,1,53647.0
200,"Asylum, The",2,86428927.0
201,Asymmetrical Productions,1,67631903.0
202,At Group,1,142337240.0
203,Atchafalaya,1,14743391.0
204,Athanor,1,461983149.0
205,Atlantic Entertainment Group,2,29502000.0
206,Atlantic Releasing Corporation,1,354704.0
207,Atlantic Streamline,1,105610124.0
208,Atlantis Films,1,374743.0
209,Atlas Entertainment,2,143254695.0
210,Atmo Media Network,2,70851801.0
211,Atom Factory,1,187112.0
212,Atípica Films,1,4453524.0
213,August Entertainment,1,49042224.0
214,Aunt Max Entertainment,1,42664410.0
215,Aura Films,1,12036149.0
216,Aurora Productions,2,41890240.0
217,Australian Film Commission,1,14904.0
218,Australian Film Finance Corporation,1,294804195.0
219,Australian Film Finance Corporation (AFFC),3,152079157.0
220,Autonomous,1,54600000.0
221,Available Light Productions,1,113309743.0
222,Avala Film,3,67017147.0
223,Avalon P.C.,1,11666088.0
224,Avalon Productions,1,3566225.0
225,Avalon Studios,1,2201126.0
226,Avenue Pictures Productions,5,162729095.0
227,Aviacsa,1,21665468.0
228,Aviva Entertainment,1,14296438.0
229,Avon Production,1,10750000.0
230,Ayngaran International,1,349779543.0
231,Azalea Pictures,1,9713500.0
232,Azor Film,1,16803753.0
233,BAV Film,1,263404.0
